"accession","title","taxid","slen","organism","locCode","sampleID","Locality","State","Country","N","Lon","Lat"
"MH090534.1","Hetaerina americana voucher HamEF2 cytochrome oxidase subunit I gene, partial cds; mitochondrial",62018,632,"Hetaerina americana","EF","02","El Fuerte","Sinaloa","Mexico",10,-108.621821,26.424746
"MH090535.1","Hetaerina americana voucher HamEF3 cytochrome oxidase subunit I gene, partial cds; mitochondrial",62018,632,"Hetaerina americana","EF","03","El Fuerte","Sinaloa","Mexico",10,-108.621821,26.424746
"MH090536.1","Hetaerina calverti voucher HamEF4 cytochrome oxidase subunit I gene, partial cds; mitochondrial",2606447,632,"Hetaerina calverti","EF","04","El Fuerte","Sinaloa","Mexico",10,-108.621821,26.424746
"MH090537.1","Hetaerina americana voucher HamEF5 cytochrome oxidase subunit I gene, partial cds; mitochondrial",62018,632,"Hetaerina americana","EF","05","El Fuerte","Sinaloa","Mexico",10,-108.621821,26.424746
"MH090538.1","Hetaerina americana voucher HamEF6 cytochrome oxidase subunit I gene, partial cds; mitochondrial",62018,632,"Hetaerina americana","EF","06","El Fuerte","Sinaloa","Mexico",10,-108.621821,26.424746
"MH090539.1","Hetaerina calverti voucher HamEF7 cytochrome oxidase subunit I gene, partial cds; mitochondrial",2606447,632,"Hetaerina calverti","EF","07","El Fuerte","Sinaloa","Mexico",10,-108.621821,26.424746
"MH090540.1","Hetaerina calverti voucher HamEF8 cytochrome oxidase subunit I gene, partial cds; mitochondrial",2606447,632,"Hetaerina calverti","EF","08","El Fuerte","Sinaloa","Mexico",10,-108.621821,26.424746
"MH090541.1","Hetaerina calverti voucher HamEF9 cytochrome oxidase subunit I gene, partial cds; mitochondrial",2606447,632,"Hetaerina calverti","EF","09","El Fuerte","Sinaloa","Mexico",10,-108.621821,26.424746
"MH090542.1","Hetaerina americana voucher HamLC1 cytochrome oxidase subunit I gene, partial cds; mitochondrial",62018,629,"Hetaerina americana","LC","01","Larimer County","Colorado","USA",9,-105.019276,40.557465
"MH090543.1","Hetaerina americana voucher HamLC2 cytochrome oxidase subunit I gene, partial cds; mitochondrial",62018,629,"Hetaerina americana","LC","02","Larimer County","Colorado","USA",9,-105.019276,40.557465
"MH090544.1","Hetaerina americana voucher HamLC3 cytochrome oxidase subunit I gene, partial cds; mitochondrial",62018,629,"Hetaerina americana","LC","03","Larimer County","Colorado","USA",9,-105.019276,40.557465
"MH090545.1","Hetaerina americana voucher HamLC4 cytochrome oxidase subunit I gene, partial cds; mitochondrial",62018,629,"Hetaerina americana","LC","04","Larimer County","Colorado","USA",9,-105.019276,40.557465
"MH090546.1","Hetaerina americana voucher HamLC6 cytochrome oxidase subunit I gene, partial cds; mitochondrial",62018,629,"Hetaerina americana","LC","06","Larimer County","Colorado","USA",9,-105.019276,40.557465
"MH090547.1","Hetaerina americana voucher HamLC7 cytochrome oxidase subunit I gene, partial cds; mitochondrial",62018,629,"Hetaerina americana","LC","07","Larimer County","Colorado","USA",9,-105.019276,40.557465
"MH090548.1","Hetaerina americana voucher HamLC8 cytochrome oxidase subunit I gene, partial cds; mitochondrial",62018,629,"Hetaerina americana","LC","08","Larimer County","Colorado","USA",9,-105.019276,40.557465
"MH090549.1","Hetaerina americana voucher HamLC9 cytochrome oxidase subunit I gene, partial cds; mitochondrial",62018,629,"Hetaerina americana","LC","09","Larimer County","Colorado","USA",9,-105.019276,40.557465
"MH090550.1","Hetaerina americana voucher HamMC1 cytochrome oxidase subunit I gene, partial cds; mitochondrial",62018,629,"Hetaerina americana","MC","01","Maury County","Tennessee","USA",2,-86.87155,35.571
"MH090551.1","Hetaerina americana voucher HamMC2 cytochrome oxidase subunit I gene, partial cds; mitochondrial",62018,629,"Hetaerina americana","MC","02","Maury County","Tennessee","USA",2,-86.87155,35.571
"MH090552.1","Hetaerina americana voucher HamMn10 cytochrome oxidase subunit I gene, partial cds; mitochondrial",62018,629,"Hetaerina americana","Mn","10","La Mintzita","Michoacán","Mexico",10,-101.274796,19.645084
"MH090553.1","Hetaerina americana voucher HamMn11 cytochrome oxidase subunit I gene, partial cds; mitochondrial",62018,629,"Hetaerina americana","Mn","11","La Mintzita","Michoacán","Mexico",10,-101.274796,19.645084
"MH090554.1","Hetaerina americana voucher HamMn2 cytochrome oxidase subunit I gene, partial cds; mitochondrial",62018,629,"Hetaerina americana","Mn","02","La Mintzita","Michoacán","Mexico",10,-101.274796,19.645084
"MH090555.1","Hetaerina americana voucher HamMn3 cytochrome oxidase subunit I gene, partial cds; mitochondrial",62018,629,"Hetaerina americana","Mn","03","La Mintzita","Michoacán","Mexico",10,-101.274796,19.645084
"MH090556.1","Hetaerina americana voucher HamMn4 cytochrome oxidase subunit I gene, partial cds; mitochondrial",62018,629,"Hetaerina americana","Mn","04","La Mintzita","Michoacán","Mexico",10,-101.274796,19.645084
"MH090557.1","Hetaerina americana voucher HamMn5 cytochrome oxidase subunit I gene, partial cds; mitochondrial",62018,629,"Hetaerina americana","Mn","05","La Mintzita","Michoacán","Mexico",10,-101.274796,19.645084
"MH090558.1","Hetaerina americana voucher HamMn6 cytochrome oxidase subunit I gene, partial cds; mitochondrial",62018,629,"Hetaerina americana","Mn","06","La Mintzita","Michoacán","Mexico",10,-101.274796,19.645084
"MH090559.1","Hetaerina americana voucher HamMn7 cytochrome oxidase subunit I gene, partial cds; mitochondrial",62018,629,"Hetaerina americana","Mn","07","La Mintzita","Michoacán","Mexico",10,-101.274796,19.645084
"MH090560.1","Hetaerina americana voucher HamMn8 cytochrome oxidase subunit I gene, partial cds; mitochondrial",62018,629,"Hetaerina americana","Mn","08","La Mintzita","Michoacán","Mexico",10,-101.274796,19.645084
"MH090561.1","Hetaerina americana voucher HamMn9 cytochrome oxidase subunit I gene, partial cds; mitochondrial",62018,629,"Hetaerina americana","Mn","09","La Mintzita","Michoacán","Mexico",10,-101.274796,19.645084
"MH090562.1","Hetaerina americana voucher HamMo1 cytochrome oxidase subunit I gene, partial cds; mitochondrial",62018,629,"Hetaerina americana","Mo","01","Momax","Zacatecas","Mexico",10,-103.31071,21.94449
"MH090563.1","Hetaerina americana voucher HamMo10 cytochrome oxidase subunit I gene, partial cds; mitochondrial",62018,629,"Hetaerina americana","Mo","10","Momax","Zacatecas","Mexico",10,-103.31071,21.94449
"MH090564.1","Hetaerina americana voucher HamMo2 cytochrome oxidase subunit I gene, partial cds; mitochondrial",62018,629,"Hetaerina americana","Mo","02","Momax","Zacatecas","Mexico",10,-103.31071,21.94449
"MH090565.1","Hetaerina americana voucher HamMo3 cytochrome oxidase subunit I gene, partial cds; mitochondrial",62018,629,"Hetaerina americana","Mo","03","Momax","Zacatecas","Mexico",10,-103.31071,21.94449
"MH090566.1","Hetaerina americana voucher HamMo4 cytochrome oxidase subunit I gene, partial cds; mitochondrial",62018,629,"Hetaerina americana","Mo","04","Momax","Zacatecas","Mexico",10,-103.31071,21.94449
"MH090567.1","Hetaerina americana voucher HamMo5 cytochrome oxidase subunit I gene, partial cds; mitochondrial",62018,629,"Hetaerina americana","Mo","05","Momax","Zacatecas","Mexico",10,-103.31071,21.94449
"MH090568.1","Hetaerina americana voucher HamMo6 cytochrome oxidase subunit I gene, partial cds; mitochondrial",62018,629,"Hetaerina americana","Mo","06","Momax","Zacatecas","Mexico",10,-103.31071,21.94449
"MH090569.1","Hetaerina americana voucher HamMo7 cytochrome oxidase subunit I gene, partial cds; mitochondrial",62018,629,"Hetaerina americana","Mo","07","Momax","Zacatecas","Mexico",10,-103.31071,21.94449
"MH090570.1","Hetaerina americana voucher HamMo8 cytochrome oxidase subunit I gene, partial cds; mitochondrial",62018,629,"Hetaerina americana","Mo","08","Momax","Zacatecas","Mexico",10,-103.31071,21.94449
"MH090571.1","Hetaerina americana voucher HamMo9 cytochrome oxidase subunit I gene, partial cds; mitochondrial",62018,629,"Hetaerina americana","Mo","09","Momax","Zacatecas","Mexico",10,-103.31071,21.94449
"MH090572.1","Hetaerina americana voucher HamNR1 cytochrome oxidase subunit I gene, partial cds; mitochondrial",62018,629,"Hetaerina americana","NR","01","Nuevo Recuerdo","Chiapas","Mexico",10,-91.99499,15.90103
"MH090573.1","Hetaerina americana voucher HamNR10 cytochrome oxidase subunit I gene, partial cds; mitochondrial",62018,629,"Hetaerina americana","NR","10","Nuevo Recuerdo","Chiapas","Mexico",10,-91.99499,15.90103
"MH090574.1","Hetaerina calverti voucher HamNR2 cytochrome oxidase subunit I gene, partial cds; mitochondrial",2606447,629,"Hetaerina calverti","NR","02","Nuevo Recuerdo","Chiapas","Mexico",10,-91.99499,15.90103
"MH090575.1","Hetaerina americana voucher HamNR3 cytochrome oxidase subunit I gene, partial cds; mitochondrial",62018,629,"Hetaerina americana","NR","03","Nuevo Recuerdo","Chiapas","Mexico",10,-91.99499,15.90103
"MH090576.1","Hetaerina americana voucher HamNR4 cytochrome oxidase subunit I gene, partial cds; mitochondrial",62018,629,"Hetaerina americana","NR","04","Nuevo Recuerdo","Chiapas","Mexico",10,-91.99499,15.90103
"MH090577.1","Hetaerina calverti voucher HamNR5 cytochrome oxidase subunit I gene, partial cds; mitochondrial",2606447,629,"Hetaerina calverti","NR","05","Nuevo Recuerdo","Chiapas","Mexico",10,-91.99499,15.90103
"MH090578.1","Hetaerina americana voucher HamNR6 cytochrome oxidase subunit I gene, partial cds; mitochondrial",62018,629,"Hetaerina americana","NR","06","Nuevo Recuerdo","Chiapas","Mexico",10,-91.99499,15.90103
"MH090579.1","Hetaerina americana voucher HamNR7 cytochrome oxidase subunit I gene, partial cds; mitochondrial",62018,629,"Hetaerina americana","NR","07","Nuevo Recuerdo","Chiapas","Mexico",10,-91.99499,15.90103
"MH090580.1","Hetaerina americana voucher HamNR8 cytochrome oxidase subunit I gene, partial cds; mitochondrial",62018,629,"Hetaerina americana","NR","08","Nuevo Recuerdo","Chiapas","Mexico",10,-91.99499,15.90103
"MH090581.1","Hetaerina calverti voucher HamNR9 cytochrome oxidase subunit I gene, partial cds; mitochondrial",2606447,629,"Hetaerina calverti","NR","09","Nuevo Recuerdo","Chiapas","Mexico",10,-91.99499,15.90103
"MH090582.1","Hetaerina americana voucher HamNy1 cytochrome oxidase subunit I gene, partial cds; mitochondrial",62018,635,"Hetaerina americana","Ny","01","Camichines","Nayarit","Mexico",10,-104.688813,21.345635
"MH090583.1","Hetaerina americana voucher HamNy10 cytochrome oxidase subunit I gene, partial cds; mitochondrial",62018,635,"Hetaerina americana","Ny","10","Camichines","Nayarit","Mexico",10,-104.688813,21.345635
"MH090584.1","Hetaerina americana voucher HamNy2 cytochrome oxidase subunit I gene, partial cds; mitochondrial",62018,635,"Hetaerina americana","Ny","02","Camichines","Nayarit","Mexico",10,-104.688813,21.345635
"MH090585.1","Hetaerina americana voucher HamNy3 cytochrome oxidase subunit I gene, partial cds; mitochondrial",62018,635,"Hetaerina americana","Ny","03","Camichines","Nayarit","Mexico",10,-104.688813,21.345635
"MH090586.1","Hetaerina americana voucher HamNy4 cytochrome oxidase subunit I gene, partial cds; mitochondrial",62018,635,"Hetaerina americana","Ny","04","Camichines","Nayarit","Mexico",10,-104.688813,21.345635
"MH090587.1","Hetaerina americana voucher HamNy5 cytochrome oxidase subunit I gene, partial cds; mitochondrial",62018,635,"Hetaerina americana","Ny","05","Camichines","Nayarit","Mexico",10,-104.688813,21.345635
"MH090588.1","Hetaerina americana voucher HamNy6 cytochrome oxidase subunit I gene, partial cds; mitochondrial",62018,635,"Hetaerina americana","Ny","06","Camichines","Nayarit","Mexico",10,-104.688813,21.345635
"MH090589.1","Hetaerina americana voucher HamNy7 cytochrome oxidase subunit I gene, partial cds; mitochondrial",62018,635,"Hetaerina americana","Ny","07","Camichines","Nayarit","Mexico",10,-104.688813,21.345635
"MH090590.1","Hetaerina americana voucher HamNy8 cytochrome oxidase subunit I gene, partial cds; mitochondrial",62018,635,"Hetaerina americana","Ny","08","Camichines","Nayarit","Mexico",10,-104.688813,21.345635
"MH090591.1","Hetaerina americana voucher HamNy9 cytochrome oxidase subunit I gene, partial cds; mitochondrial",62018,635,"Hetaerina americana","Ny","09","Camichines","Nayarit","Mexico",10,-104.688813,21.345635
"MH090592.1","Hetaerina americana voucher HamOC1 cytochrome oxidase subunit I gene, partial cds; mitochondrial",62018,629,"Hetaerina americana","OC","01","Ozark County","Missouri","USA",2,-92.28699,36.73524
"MH090593.1","Hetaerina americana voucher HamOC2 cytochrome oxidase subunit I gene, partial cds; mitochondrial",62018,629,"Hetaerina americana","OC","02","Ozark County","Missouri","USA",2,-92.28699,36.73524
"MH090594.1","Hetaerina americana voucher HamPM1 cytochrome oxidase subunit I gene, partial cds; mitochondrial",62018,662,"Hetaerina americana","PM","01","Puente Madera","Chiapas","Mexico",2,-93.33325,15.76587
"MH090595.1","Hetaerina americana voucher HamRC1 cytochrome oxidase subunit I gene, partial cds; mitochondrial",62018,662,"Hetaerina americana","RC","01","Río Cuyamiapa","Chiapas","Mexico",1,-92.437407,15.117529
"MH090596.1","Hetaerina americana voucher HamRCh1 cytochrome oxidase subunit I gene, partial cds; mitochondrial",62018,635,"Hetaerina americana","RCh","01","Río Chonchos","Chihuahua","Mexico",8,-105.187726,27.71242
"MH090597.1","Hetaerina americana voucher HamRCh2 cytochrome oxidase subunit I gene, partial cds; mitochondrial",62018,635,"Hetaerina americana","RCh","02","Río Chonchos","Chihuahua","Mexico",8,-105.187726,27.71242
"MH090598.1","Hetaerina americana voucher HamRCh3 cytochrome oxidase subunit I gene, partial cds; mitochondrial",62018,635,"Hetaerina americana","RCh","03","Río Chonchos","Chihuahua","Mexico",8,-105.187726,27.71242
