"accession","title","taxid","slen","organism","locCode","sampleID","Locality","State","Country","N","Lon","Lat"
"MH090424.1","Hetaerina calverti voucher HamCt2 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence",2606447,546,"Hetaerina calverti","Ct","02","Cuatro Ciénegas","Coahuila","Mexico",10,-102.12426,26.92852
"MH090425.1","Hetaerina calverti voucher HamCt3 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence",2606447,546,"Hetaerina calverti","Ct","03","Cuatro Ciénegas","Coahuila","Mexico",10,-102.12426,26.92852
"MH090426.1","Hetaerina calverti voucher HamCt4 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence",2606447,546,"Hetaerina calverti","Ct","04","Cuatro Ciénegas","Coahuila","Mexico",10,-102.12426,26.92852
"MH090427.1","Hetaerina calverti voucher HamCt5 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence",2606447,546,"Hetaerina calverti","Ct","05","Cuatro Ciénegas","Coahuila","Mexico",10,-102.12426,26.92852
"MH090428.1","Hetaerina calverti voucher HamCt6 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence",2606447,546,"Hetaerina calverti","Ct","06","Cuatro Ciénegas","Coahuila","Mexico",10,-102.12426,26.92852
"MH090429.1","Hetaerina calverti voucher HamCt7 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence",2606447,546,"Hetaerina calverti","Ct","07","Cuatro Ciénegas","Coahuila","Mexico",10,-102.12426,26.92852
"MH090430.1","Hetaerina calverti voucher HamCt8 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence",2606447,546,"Hetaerina calverti","Ct","08","Cuatro Ciénegas","Coahuila","Mexico",10,-102.12426,26.92852
"MH090431.1","Hetaerina calverti voucher HamCt9 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence",2606447,546,"Hetaerina calverti","Ct","09","Cuatro Ciénegas","Coahuila","Mexico",10,-102.12426,26.92852
"MH090432.1","Hetaerina calverti voucher HamCt10 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence",2606447,546,"Hetaerina calverti","Ct","10","Cuatro Ciénegas","Coahuila","Mexico",10,-102.12426,26.92852
"MH090433.1","Hetaerina calverti voucher HamNR2 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence",2606447,546,"Hetaerina calverti","NR","02","Nuevo Recuerdo","Chiapas","Mexico",10,-91.99499,15.90103
"MH090434.1","Hetaerina americana voucher HamNR3 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence",62018,543,"Hetaerina americana","NR","03","Nuevo Recuerdo","Chiapas","Mexico",10,-91.99499,15.90103
"MH090435.1","Hetaerina americana voucher HamNR4 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence",62018,543,"Hetaerina americana","NR","04","Nuevo Recuerdo","Chiapas","Mexico",10,-91.99499,15.90103
"MH090436.1","Hetaerina calverti voucher HamNR5 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence",2606447,546,"Hetaerina calverti","NR","05","Nuevo Recuerdo","Chiapas","Mexico",10,-91.99499,15.90103
"MH090437.1","Hetaerina americana voucher HamNR6 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence",62018,543,"Hetaerina americana","NR","06","Nuevo Recuerdo","Chiapas","Mexico",10,-91.99499,15.90103
"MH090438.1","Hetaerina americana voucher HamNR7 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence",62018,543,"Hetaerina americana","NR","07","Nuevo Recuerdo","Chiapas","Mexico",10,-91.99499,15.90103
"MH090439.1","Hetaerina americana voucher HamNR8 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence",62018,543,"Hetaerina americana","NR","08","Nuevo Recuerdo","Chiapas","Mexico",10,-91.99499,15.90103
"MH090440.1","Hetaerina calverti voucher HamNR9 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence",2606447,546,"Hetaerina calverti","NR","09","Nuevo Recuerdo","Chiapas","Mexico",10,-91.99499,15.90103
"MH090441.1","Hetaerina americana voucher HamNR10 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence",62018,543,"Hetaerina americana","NR","10","Nuevo Recuerdo","Chiapas","Mexico",10,-91.99499,15.90103
"MH090442.1","Hetaerina americana voucher HamNy1 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence",62018,543,"Hetaerina americana","Ny","01","Camichines","Nayarit","Mexico",10,-104.688813,21.345635
"MH090443.1","Hetaerina americana voucher HamNy2 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence",62018,543,"Hetaerina americana","Ny","02","Camichines","Nayarit","Mexico",10,-104.688813,21.345635
"MH090444.1","Hetaerina americana voucher HamNy3 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence",62018,543,"Hetaerina americana","Ny","03","Camichines","Nayarit","Mexico",10,-104.688813,21.345635
"MH090445.1","Hetaerina americana voucher HamNy4 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence",62018,543,"Hetaerina americana","Ny","04","Camichines","Nayarit","Mexico",10,-104.688813,21.345635
"MH090446.1","Hetaerina americana voucher HamNy5 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence",62018,543,"Hetaerina americana","Ny","05","Camichines","Nayarit","Mexico",10,-104.688813,21.345635
"MH090447.1","Hetaerina americana voucher HamNy6 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence",62018,543,"Hetaerina americana","Ny","06","Camichines","Nayarit","Mexico",10,-104.688813,21.345635
"MH090448.1","Hetaerina americana voucher HamNy7 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence",62018,543,"Hetaerina americana","Ny","07","Camichines","Nayarit","Mexico",10,-104.688813,21.345635
"MH090449.1","Hetaerina americana voucher HamNy8 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence",62018,543,"Hetaerina americana","Ny","08","Camichines","Nayarit","Mexico",10,-104.688813,21.345635
"MH090450.1","Hetaerina americana voucher HamNy9 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence",62018,543,"Hetaerina americana","Ny","09","Camichines","Nayarit","Mexico",10,-104.688813,21.345635
"MH090451.1","Hetaerina calverti voucher HamSG1 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence",2606447,546,"Hetaerina calverti","SG","01","Sacapulas","Quiché","Guatemala",10,-91.089086,15.290081
"MH090452.1","Hetaerina calverti voucher HamSG2 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence",2606447,546,"Hetaerina calverti","SG","02","Sacapulas","Quiché","Guatemala",10,-91.089086,15.290081
"MH090453.1","Hetaerina calverti voucher HamSG4 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence",2606447,546,"Hetaerina calverti","SG","04","Sacapulas","Quiché","Guatemala",10,-91.089086,15.290081
"MH090454.1","Hetaerina calverti voucher HamSG6 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence",2606447,546,"Hetaerina calverti","SG","06","Sacapulas","Quiché","Guatemala",10,-91.089086,15.290081
"MH090455.1","Hetaerina calverti voucher HamSG7 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence",2606447,546,"Hetaerina calverti","SG","07","Sacapulas","Quiché","Guatemala",10,-91.089086,15.290081
"MH090456.1","Hetaerina calverti voucher HamSG8 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence",2606447,546,"Hetaerina calverti","SG","08","Sacapulas","Quiché","Guatemala",10,-91.089086,15.290081
"MH090457.1","Hetaerina calverti voucher HamSG9 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence",2606447,546,"Hetaerina calverti","SG","09","Sacapulas","Quiché","Guatemala",10,-91.089086,15.290081
"MH090458.1","Hetaerina calverti voucher HamSG10 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence",2606447,546,"Hetaerina calverti","SG","10","Sacapulas","Quiché","Guatemala",10,-91.089086,15.290081
"MH090459.1","Hetaerina americana voucher HamVi2 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence",62018,543,"Hetaerina americana","Vi","02","Villaldama","Nuevo León","Mexico",10,-100.43224,26.49984
"MH090460.1","Hetaerina americana voucher HamVi3 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence",62018,543,"Hetaerina americana","Vi","03","Villaldama","Nuevo León","Mexico",10,-100.43224,26.49984
"MH090461.1","Hetaerina americana voucher HamVi4 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence",62018,543,"Hetaerina americana","Vi","04","Villaldama","Nuevo León","Mexico",10,-100.43224,26.49984
"MH090462.1","Hetaerina americana voucher HamVi5 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence",62018,543,"Hetaerina americana","Vi","05","Villaldama","Nuevo León","Mexico",10,-100.43224,26.49984
"MH090463.1","Hetaerina americana voucher HamVi6 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence",62018,543,"Hetaerina americana","Vi","06","Villaldama","Nuevo León","Mexico",10,-100.43224,26.49984
"MH090464.1","Hetaerina americana voucher HamVi7 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence",62018,543,"Hetaerina americana","Vi","07","Villaldama","Nuevo León","Mexico",10,-100.43224,26.49984
"MH090465.1","Hetaerina americana voucher HamVi8 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence",62018,543,"Hetaerina americana","Vi","08","Villaldama","Nuevo León","Mexico",10,-100.43224,26.49984
"MH090466.1","Hetaerina americana voucher HamVi9 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence",62018,543,"Hetaerina americana","Vi","09","Villaldama","Nuevo León","Mexico",10,-100.43224,26.49984
"MH090467.1","Hetaerina americana voucher HamVi10 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence",62018,543,"Hetaerina americana","Vi","10","Villaldama","Nuevo León","Mexico",10,-100.43224,26.49984
"MH090468.1","Hetaerina calverti voucher HamZa1 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence",2606447,546,"Hetaerina calverti","Za","01","Zaragoza","Coahuila","Mexico",10,-100.91071,28.48658
"MH090469.1","Hetaerina calverti voucher HamZa2 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence",2606447,545,"Hetaerina calverti","Za","02","Zaragoza","Coahuila","Mexico",10,-100.91071,28.48658
"MH090470.1","Hetaerina americana voucher HamZa3 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence",62018,543,"Hetaerina americana","Za","03","Zaragoza","Coahuila","Mexico",10,-100.91071,28.48658
"MH090471.1","Hetaerina americana voucher HamZa4 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence",62018,543,"Hetaerina americana","Za","04","Zaragoza","Coahuila","Mexico",10,-100.91071,28.48658
"MH090472.1","Hetaerina calverti voucher HamZa5 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence",2606447,546,"Hetaerina calverti","Za","05","Zaragoza","Coahuila","Mexico",10,-100.91071,28.48658
"MH090473.1","Hetaerina americana voucher HamZa6 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence",62018,543,"Hetaerina americana","Za","06","Zaragoza","Coahuila","Mexico",10,-100.91071,28.48658
"MH090474.1","Hetaerina calverti voucher HamZa7 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence",2606447,546,"Hetaerina calverti","Za","07","Zaragoza","Coahuila","Mexico",10,-100.91071,28.48658
"MH090475.1","Hetaerina calverti voucher HamZa8 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence",2606447,546,"Hetaerina calverti","Za","08","Zaragoza","Coahuila","Mexico",10,-100.91071,28.48658
"MH090476.1","Hetaerina calverti voucher HamZa9 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence",2606447,546,"Hetaerina calverti","Za","09","Zaragoza","Coahuila","Mexico",10,-100.91071,28.48658
